price      , date          , volume
MYR RM3.55 , "Jul 1, 2022" , 924K
MYR RM3.55 , "Jul 1, 2022" , 924K
MYR RM3.68 , "Sep 23, 2022", 1M
MYR RM3.50 , "Oct 28, 2022", 1.4M
MYR RM3.99 , "Feb 24, 2023", 665K
MYR RM3.95 , "Jun 23, 2023", 1.1M
MYR RM3.40 , "Nov 10, 2023", 5.8M
MYR RM3.47 , "Jan 26, 2024", 1.2M
MYR RM3.87 , "Apr 5, 2024" , 2.3M
MYR RM3.66 , "May 10, 2024", 3.9M
MYR RM4.52 , "Jul 12, 2024", 11M
MYR RM3.34 , "Sep 20, 2024", 4.8M
MYR RM3.45 , "Dec 6, 2024" , 5.2M
MYR RM2.63 , "Apr 18, 2025", 18M
MYR RM2.63 , "Apr 18, 2025", 18M
MYR RM2.63 , "Apr 18, 2025", 18M
MYR RM2.63 , "Apr 18, 2025", 18M
MYR RM2.63 , "Apr 18, 2025", 18M
MYR RM3.82 , "Aug 23, 2024", 1.8M
MYR RM3.61 , "Dec 15, 2023", 703K
MYR RM3.78 , "Mar 17, 2023", 2.6M
MYR RM3.97 , "Dec 9, 2022" , 838K
MYR RM3.50 , "Oct 21, 2022", 1.9M
MYR RM3.34 , "Jul 15, 2022", 1.1M
MYR RM4.99 , "Oct 1, 2021" , 1.6M
MYR RM2.07 , "Apr 30, 2020", 554K
MYR RM2.07 , "Apr 30, 2020", 554K
MYR RM2.08 , "May 8, 2020" , 126K
MYR RM2.08 , "May 8, 2020" , 126K
MYR RM2.08 , "May 8, 2020" , 126K
MYR RM2.63 , "Apr 18, 2025", 230K
MYR RM4.00 , "Mar 3, 2023" , 714K
MYR RM2.02 , "May 22, 2020", 809K
MYR RM2.02 , "May 22, 2020", 809K
MYR RM2.15 , "May 29, 2020", 1.3M
MYR RM2.15 , "May 29, 2020", 1.3M
MYR RM2.15 , "May 29, 2020", 1.3M
MYR RM2.12 , "Jun 5, 2020" , 1.4M
MYR RM2.12 , "Jun 5, 2020" , 1.4M
MYR RM2.16 , "Jun 12, 2020", 893K
MYR RM2.16 , "Jun 12, 2020", 893K
MYR RM2.16 , "Jun 19, 2020", 1.2M
MYR RM2.16 , "Jun 19, 2020", 1.2M
MYR RM2.16 , "Jun 19, 2020", 1.2M
MYR RM2.31 , "Jun 26, 2020", 797K
MYR RM2.31 , "Jun 26, 2020", 797K
MYR RM2.38 , "Jul 3, 2020" , 707K
MYR RM2.38 , "Jul 3, 2020" , 707K
MYR RM2.48 , "Jul 10, 2020", 2.6M
MYR RM2.48 , "Jul 10, 2020", 2.6M
MYR RM2.48 , "Jul 10, 2020", 2.6M
MYR RM2.51 , "Jul 17, 2020", 1M
MYR RM2.51 , "Jul 17, 2020", 1M
MYR RM2.54 , "Jul 24, 2020", 1.7M
MYR RM2.54 , "Jul 24, 2020", 1.7M
MYR RM3.07 , "Jul 30, 2020", 3.2M
MYR RM3.07 , "Jul 30, 2020", 3.2M
MYR RM3.07 , "Jul 30, 2020", 3.2M
MYR RM3.00 , "Aug 7, 2020" , 1.9M
MYR RM3.00 , "Aug 7, 2020" , 1.9M
MYR RM2.93 , "Aug 14, 2020", 876K
MYR RM2.93 , "Aug 14, 2020", 876K
MYR RM2.93 , "Aug 14, 2020", 876K
MYR RM3.02 , "Aug 21, 2020", 670K
MYR RM3.02 , "Aug 21, 2020", 670K
MYR RM3.03 , "Aug 28, 2020", 2.1M
MYR RM3.03 , "Aug 28, 2020", 2.1M
MYR RM3.13 , "Sep 4, 2020" , 854K
MYR RM3.13 , "Sep 4, 2020" , 854K
MYR RM3.13 , "Sep 4, 2020" , 854K
MYR RM3.07 , "Sep 11, 2020", 1.4M
MYR RM3.07 , "Sep 11, 2020", 1.4M
MYR RM3.15 , "Sep 18, 2020", 2.4M
MYR RM3.15 , "Sep 18, 2020", 2.4M
MYR RM3.18 , "Sep 25, 2020", 2.2M
MYR RM3.18 , "Sep 25, 2020", 2.2M
MYR RM3.18 , "Sep 25, 2020", 2.2M
MYR RM3.15 , "Oct 2, 2020" , 1M
MYR RM3.15 , "Oct 2, 2020" , 1M
MYR RM3.24 , "Oct 9, 2020" , 833K
MYR RM3.24 , "Oct 9, 2020" , 833K
MYR RM3.30 , "Oct 16, 2020", 475K
MYR RM3.30 , "Oct 16, 2020", 475K
MYR RM3.30 , "Oct 16, 2020", 475K
MYR RM3.53 , "Oct 23, 2020", 2M
MYR RM3.53 , "Oct 23, 2020", 2M
MYR RM3.55 , "Oct 30, 2020", 765K
MYR RM3.55 , "Oct 30, 2020", 765K
MYR RM3.76 , "Nov 6, 2020" , 1.1M
MYR RM3.76 , "Nov 6, 2020" , 1.1M
MYR RM3.76 , "Nov 6, 2020" , 1.1M
MYR RM3.79 , "Nov 13, 2020", 897K
MYR RM3.79 , "Nov 13, 2020", 897K
MYR RM3.77 , "Nov 20, 2020", 333K
MYR RM3.77 , "Nov 20, 2020", 333K
MYR RM3.73 , "Nov 27, 2020", 967K
MYR RM3.73 , "Nov 27, 2020", 967K
MYR RM3.73 , "Nov 27, 2020", 967K
MYR RM3.76 , "Dec 4, 2020" , 682K
MYR RM3.76 , "Dec 4, 2020" , 682K
MYR RM3.69 , "Dec 11, 2020", 751K
MYR RM3.69 , "Dec 11, 2020", 751K
MYR RM3.61 , "Dec 18, 2020", 1.2M
MYR RM3.61 , "Dec 18, 2020", 1.2M
MYR RM3.61 , "Dec 18, 2020", 1.2M
MYR RM3.62 , "Dec 24, 2020", 340K
MYR RM3.62 , "Dec 24, 2020", 340K
MYR RM3.68 , "Dec 31, 2020", 279K
MYR RM3.68 , "Dec 31, 2020", 279K
MYR RM3.44 , "Jan 8, 2021" , 688K
MYR RM3.44 , "Jan 8, 2021" , 688K
MYR RM3.44 , "Jan 8, 2021" , 688K
